stage,tick,episode,x,z,base_action_0,requested_delta_0,effective_delta_0,action_0,base_action_1,requested_delta_1,effective_delta_1,action_1,base_action_2,requested_delta_2,effective_delta_2,action_2,base_action_3,requested_delta_3,effective_delta_3,action_3
initial,18,1,3.1199958324432373,0.47814327478408813,0.8251445293426514,0.0,0.0,0.8251445293426514,-0.9457067847251892,0.0,0.0,-0.9457067847251892,0.2153262346982956,0.0,0.0,0.2153262346982956,-0.385853111743927,0.0,0.0,-0.385853111743927
initial,19,0,3.152130603790283,0.4819020628929138,0.8085018992424011,0.0,0.0,0.8085018992424011,-0.919141948223114,0.0,0.0,-0.919141948223114,0.44359830021858215,0.0,0.0,0.44359830021858215,-0.5034770965576172,0.0,0.0,-0.5034770965576172
initial,19,1,3.1551997661590576,0.48861879110336304,0.7559280395507812,0.0,0.0,0.7559280395507812,-0.9328691959381104,0.0,0.0,-0.9328691959381104,0.41505709290504456,0.0,0.0,0.41505709290504456,-0.44118955731391907,0.0,0.0,-0.44118955731391907
initial,20,0,3.1849846839904785,0.4853067100048065,0.7946959137916565,0.0,0.0,0.7946959137916565,-0.889516294002533,0.0,0.0,-0.889516294002533,0.5895334482192993,0.0,0.0,0.5895334482192993,-0.596675455570221,0.0,0.0,-0.596675455570221
initial,20,1,3.1890950202941895,0.4930616021156311,0.7386277914047241,0.0,0.0,0.7386277914047241,-0.9103203415870667,0.0,0.0,-0.9103203415870667,0.5185734629631042,0.0,0.0,0.5185734629631042,-0.5469569563865662,0.0,0.0,-0.5469569563865662
initial,21,0,3.217318296432495,0.4890766441822052,0.7782500386238098,0.0,0.0,0.7782500386238098,-0.8501918315887451,0.0,0.0,-0.8501918315887451,0.7111566662788391,0.0,0.0,0.7111566662788391,-0.6761089563369751,0.0,0.0,-0.6761089563369751
initial,21,1,3.2221925258636475,0.4952838122844696,0.7041423320770264,0.0,0.0,0.7041423320770264,-0.8648573756217957,0.0,0.0,-0.8648573756217957,0.6625016927719116,0.0,0.0,0.6625016927719116,-0.6209402084350586,0.0,0.0,-0.6209402084350586
initial,22,0,3.2508814334869385,0.4965934753417969,0.766488790512085,0.0,0.0,0.766488790512085,-0.8087495565414429,0.0,0.0,-0.8087495565414429,0.7620953321456909,0.0,0.0,0.7620953321456909,-0.683912456035614,0.0,0.0,-0.683912456035614
initial,22,1,3.2556657791137695,0.4995691478252411,0.696816623210907,0.0,0.0,0.696816623210907,-0.8353340029716492,0.0,0.0,-0.8353340029716492,0.7312929630279541,0.0,0.0,0.7312929630279541,-0.6600229740142822,0.0,0.0,-0.6600229740142822
initial,23,0,3.2865188121795654,0.5061236619949341,0.7394736409187317,0.0,0.0,0.7394736409187317,-0.7617468237876892,0.0,0.0,-0.7617468237876892,0.7803983092308044,0.0,0.0,0.7803983092308044,-0.6503123641014099,0.0,0.0,-0.6503123641014099
