candidate_index,phase,full_cost,first_success_cost,label,pi_0,pi_1,pi_2,pi_3,pi_4,pi_5,pi_6
235,upstream,116,51,1,failure,success,untested,untested,untested,untested,untested
236,upstream,138,40,1,success,untested,untested,untested,untested,untested,untested
237,upstream,125,81,1,failure,failure,success,untested,untested,untested,untested
238,upstream,65,9,1,success,untested,untested,untested,untested,untested,untested
239,upstream,58,8,1,success,untested,untested,untested,untested,untested,untested
240,downstream,44,6,1,success,untested,untested,untested,untested,untested,untested
241,downstream,38,5,1,success,untested,untested,untested,untested,untested,untested
242,downstream,22,3,1,success,untested,untested,untested,untested,untested,untested
243,downstream,15,2,1,success,untested,untested,untested,untested,untested,untested
244,upstream,255,38,1,success,untested,untested,untested,untested,untested,untested
245,upstream,275,34,1,success,untested,untested,untested,untested,untested,untested
246,upstream,209,28,1,success,untested,untested,untested,untested,untested,untested
247,upstream,253,87,1,failure,success,untested,untested,untested,untested,untested
248,upstream,254,24,1,success,untested,untested,untested,untested,untested,untested
249,upstream,184,24,1,success,untested,untested,untested,untested,untested,untested
250,upstream,171,25,1,success,untested,untested,untested,untested,untested,untested
251,upstream,156,24,1,success,untested,untested,untested,untested,untested,untested
252,upstream,146,22,1,success,untested,untested,untested,untested,untested,untested
253,upstream,138,20,1,success,untested,untested,untested,untested,untested,untested
254,upstream,130,19,1,success,untested,untested,untested,untested,untested,untested
255,upstream,125,19,1,success,untested,untested,untested,untested,untested,untested
256,upstream,111,15,1,success,untested,untested,untested,untested,untested,untested
257,upstream,103,14,1,success,untested,untested,untested,untested,untested,untested
258,upstream,96,13,1,success,untested,untested,untested,untested,untested,untested
259,upstream,83,11,1,success,untested,untested,untested,untested,untested,untested
260,upstream,76,10,1,success,untested,untested,untested,untested,untested,untested
261,upstream,69,9,1,success,untested,untested,untested,untested,untested,untested
262,downstream,62,8,1,success,untested,untested,untested,untested,untested,untested
263,downstream,56,8,1,success,untested,untested,untested,untested,untested,untested
264,downstream,49,7,1,success,untested,untested,untested,untested,untested,untested
265,downstream,42,6,1,success,untested,untested,untested,untested,untested,untested
266,downstream,35,5,1,success,untested,untested,untested,untested,untested,untested
267,downstream,21,3,1,success,untested,untested,untested,untested,untested,untested
268,downstream,14,2,1,success,untested,untested,untested,untested,untested,untested
269,downstream,7,1,1,success,untested,untested,untested,untested,untested,untested
270,upstream,264,35,1,success,untested,untested,untested,untested,untested,untested
271,upstream,275,33,1,success,untested,untested,untested,untested,untested,untested
272,upstream,254,29,1,success,untested,untested,untested,untested,untested,untested
273,upstream,245,28,1,success,untested,untested,untested,untested,untested,untested
